step,tag,value
0,node_t001-nxcore_energy,1.1911900043487549
1,node_t001-nxcore_energy,0.4165000021457672
2,node_t001-nxcore_energy,0.8996400237083435
3,node_t001-nxcore_energy,0.4165000021457672
4,node_t001-nxcore_energy,0.8996400237083435
5,node_t001-nxcore_energy,0.4165000021457672
6,node_t001-nxcore_energy,0.8996400237083435
7,node_t001-nxcore_energy,0.4165000021457672
8,node_t001-nxcore_energy,0.8996400237083435
9,node_t001-nxcore_energy,0.4165000021457672
10,node_t001-nxcore_energy,0.9162999987602234
11,node_t001-nxcore_energy,0.4165000021457672
12,node_t001-nxcore_energy,0.8996400237083435
13,node_t001-nxcore_energy,0.4165000021457672
14,node_t001-nxcore_energy,0.8996400237083435
15,node_t001-nxcore_energy,0.4165000021457672
16,node_t001-nxcore_energy,0.8996400237083435
17,node_t001-nxcore_energy,0.4165000021457672
18,node_t001-nxcore_energy,0.8996400237083435
19,node_t001-nxcore_energy,0.4165000021457672
20,node_t001-nxcore_energy,0.9162999987602234
21,node_t001-nxcore_energy,0.4165000021457672
22,node_t001-nxcore_energy,0.8996400237083435
23,node_t001-nxcore_energy,0.4165000021457672
24,node_t001-nxcore_energy,0.8996400237083435
25,node_t001-nxcore_energy,0.4165000021457672
26,node_t001-nxcore_energy,0.8996400237083435
27,node_t001-nxcore_energy,0.4165000021457672
28,node_t001-nxcore_energy,0.8996400237083435
29,node_t001-nxcore_energy,0.4165000021457672
30,node_t001-nxcore_energy,0.9162999987602234
31,node_t001-nxcore_energy,0.4165000021457672
32,node_t001-nxcore_energy,0.8996400237083435
33,node_t001-nxcore_energy,0.4165000021457672
34,node_t001-nxcore_energy,0.8996400237083435
35,node_t001-nxcore_energy,0.4165000021457672
36,node_t001-nxcore_energy,0.8996400237083435
37,node_t001-nxcore_energy,0.4165000021457672
38,node_t001-nxcore_energy,0.8996400237083435
39,node_t001-nxcore_energy,0.4165000021457672
40,node_t001-nxcore_energy,0.9162999987602234
41,node_t001-nxcore_energy,0.4165000021457672
42,node_t001-nxcore_energy,0.8996400237083435
43,node_t001-nxcore_energy,0.4165000021457672
44,node_t001-nxcore_energy,0.8996400237083435
45,node_t001-nxcore_energy,0.4165000021457672
46,node_t001-nxcore_energy,0.8996400237083435
47,node_t001-nxcore_energy,0.4165000021457672
48,node_t001-nxcore_energy,0.8996400237083435
49,node_t001-nxcore_energy,0.4165000021457672
0,node_t001-nxcore_cpu,5600.0
1,node_t001-nxcore_cpu,0.0
2,node_t001-nxcore_cpu,3500.0
3,node_t001-nxcore_cpu,0.0
4,node_t001-nxcore_cpu,3500.0
5,node_t001-nxcore_cpu,0.0
6,node_t001-nxcore_cpu,3500.0
7,node_t001-nxcore_cpu,0.0
8,node_t001-nxcore_cpu,3500.0
9,node_t001-nxcore_cpu,0.0
10,node_t001-nxcore_cpu,3600.0
11,node_t001-nxcore_cpu,0.0
12,node_t001-nxcore_cpu,3500.0
13,node_t001-nxcore_cpu,0.0
14,node_t001-nxcore_cpu,3500.0
15,node_t001-nxcore_cpu,0.0
16,node_t001-nxcore_cpu,3500.0
17,node_t001-nxcore_cpu,0.0
18,node_t001-nxcore_cpu,3500.0
19,node_t001-nxcore_cpu,0.0
20,node_t001-nxcore_cpu,3600.0
21,node_t001-nxcore_cpu,0.0
22,node_t001-nxcore_cpu,3500.0
23,node_t001-nxcore_cpu,0.0
24,node_t001-nxcore_cpu,3500.0
25,node_t001-nxcore_cpu,0.0
26,node_t001-nxcore_cpu,3500.0
27,node_t001-nxcore_cpu,0.0
28,node_t001-nxcore_cpu,3500.0
29,node_t001-nxcore_cpu,0.0
30,node_t001-nxcore_cpu,3600.0
31,node_t001-nxcore_cpu,0.0
32,node_t001-nxcore_cpu,3500.0
33,node_t001-nxcore_cpu,0.0
34,node_t001-nxcore_cpu,3500.0
35,node_t001-nxcore_cpu,0.0
36,node_t001-nxcore_cpu,3500.0
37,node_t001-nxcore_cpu,0.0
38,node_t001-nxcore_cpu,3500.0
39,node_t001-nxcore_cpu,0.0
40,node_t001-nxcore_cpu,3600.0
41,node_t001-nxcore_cpu,0.0
42,node_t001-nxcore_cpu,3500.0
43,node_t001-nxcore_cpu,0.0
44,node_t001-nxcore_cpu,3500.0
45,node_t001-nxcore_cpu,0.0
46,node_t001-nxcore_cpu,3500.0
47,node_t001-nxcore_cpu,0.0
48,node_t001-nxcore_cpu,3500.0
49,node_t001-nxcore_cpu,0.0
0,node_t001-nxcore_memory,7136608256.0
1,node_t001-nxcore_memory,0.0
2,node_t001-nxcore_memory,5842665472.0
3,node_t001-nxcore_memory,0.0
4,node_t001-nxcore_memory,5842665472.0
5,node_t001-nxcore_memory,0.0
6,node_t001-nxcore_memory,5842665472.0
7,node_t001-nxcore_memory,0.0
8,node_t001-nxcore_memory,5842665472.0
9,node_t001-nxcore_memory,0.0
10,node_t001-nxcore_memory,5853151232.0
11,node_t001-nxcore_memory,0.0
12,node_t001-nxcore_memory,5842665472.0
13,node_t001-nxcore_memory,0.0
14,node_t001-nxcore_memory,5842665472.0
15,node_t001-nxcore_memory,0.0
16,node_t001-nxcore_memory,5842665472.0
17,node_t001-nxcore_memory,0.0
18,node_t001-nxcore_memory,5842665472.0
19,node_t001-nxcore_memory,0.0
20,node_t001-nxcore_memory,5853151232.0
21,node_t001-nxcore_memory,0.0
22,node_t001-nxcore_memory,5842665472.0
23,node_t001-nxcore_memory,0.0
24,node_t001-nxcore_memory,5842665472.0
25,node_t001-nxcore_memory,0.0
26,node_t001-nxcore_memory,5842665472.0
27,node_t001-nxcore_memory,0.0
28,node_t001-nxcore_memory,5842665472.0
29,node_t001-nxcore_memory,0.0
30,node_t001-nxcore_memory,5853151232.0
31,node_t001-nxcore_memory,0.0
32,node_t001-nxcore_memory,5842665472.0
33,node_t001-nxcore_memory,0.0
34,node_t001-nxcore_memory,5842665472.0
35,node_t001-nxcore_memory,0.0
36,node_t001-nxcore_memory,5842665472.0
37,node_t001-nxcore_memory,0.0
38,node_t001-nxcore_memory,5842665472.0
39,node_t001-nxcore_memory,0.0
40,node_t001-nxcore_memory,5853151232.0
41,node_t001-nxcore_memory,0.0
42,node_t001-nxcore_memory,5842665472.0
43,node_t001-nxcore_memory,0.0
44,node_t001-nxcore_memory,5842665472.0
