step,tag,value
0,node_t001-nxcore_energy,0.8496599793434143
1,node_t001-nxcore_energy,0.6913899779319763
2,node_t001-nxcore_energy,0.7663599848747253
3,node_t001-nxcore_energy,0.6913899779319763
4,node_t001-nxcore_energy,0.7663599848747253
5,node_t001-nxcore_energy,0.6913899779319763
6,node_t001-nxcore_energy,0.7663599848747253
7,node_t001-nxcore_energy,0.6913899779319763
8,node_t001-nxcore_energy,0.7663599848747253
9,node_t001-nxcore_energy,0.6913899779319763
10,node_t001-nxcore_energy,0.8496599793434143
11,node_t001-nxcore_energy,0.6913899779319763
12,node_t001-nxcore_energy,0.7663599848747253
13,node_t001-nxcore_energy,0.6913899779319763
14,node_t001-nxcore_energy,0.7663599848747253
15,node_t001-nxcore_energy,0.6913899779319763
16,node_t001-nxcore_energy,0.7663599848747253
17,node_t001-nxcore_energy,0.6913899779319763
18,node_t001-nxcore_energy,0.7663599848747253
19,node_t001-nxcore_energy,0.6913899779319763
20,node_t001-nxcore_energy,0.8496599793434143
21,node_t001-nxcore_energy,0.6913899779319763
22,node_t001-nxcore_energy,0.7663599848747253
23,node_t001-nxcore_energy,0.6913899779319763
24,node_t001-nxcore_energy,0.7663599848747253
25,node_t001-nxcore_energy,0.6913899779319763
26,node_t001-nxcore_energy,0.7663599848747253
27,node_t001-nxcore_energy,0.6913899779319763
28,node_t001-nxcore_energy,0.7663599848747253
29,node_t001-nxcore_energy,0.6913899779319763
30,node_t001-nxcore_energy,0.8496599793434143
31,node_t001-nxcore_energy,0.6913899779319763
32,node_t001-nxcore_energy,0.7663599848747253
33,node_t001-nxcore_energy,0.6913899779319763
34,node_t001-nxcore_energy,0.7663599848747253
35,node_t001-nxcore_energy,0.6913899779319763
36,node_t001-nxcore_energy,0.7663599848747253
37,node_t001-nxcore_energy,0.6913899779319763
38,node_t001-nxcore_energy,0.7663599848747253
39,node_t001-nxcore_energy,0.6913899779319763
40,node_t001-nxcore_energy,0.8496599793434143
41,node_t001-nxcore_energy,0.6913899779319763
42,node_t001-nxcore_energy,0.7663599848747253
43,node_t001-nxcore_energy,0.6913899779319763
44,node_t001-nxcore_energy,0.7663599848747253
45,node_t001-nxcore_energy,0.6913899779319763
46,node_t001-nxcore_energy,0.7663599848747253
47,node_t001-nxcore_energy,0.6913899779319763
48,node_t001-nxcore_energy,0.7663599848747253
49,node_t001-nxcore_energy,0.6913899779319763
0,node_t001-nxcore_cpu,3100.0
1,node_t001-nxcore_cpu,2000.0
2,node_t001-nxcore_cpu,2500.0
3,node_t001-nxcore_cpu,2000.0
4,node_t001-nxcore_cpu,2500.0
5,node_t001-nxcore_cpu,2000.0
6,node_t001-nxcore_cpu,2500.0
7,node_t001-nxcore_cpu,2000.0
8,node_t001-nxcore_cpu,2500.0
9,node_t001-nxcore_cpu,2000.0
10,node_t001-nxcore_cpu,3100.0
11,node_t001-nxcore_cpu,2000.0
12,node_t001-nxcore_cpu,2500.0
13,node_t001-nxcore_cpu,2000.0
14,node_t001-nxcore_cpu,2500.0
15,node_t001-nxcore_cpu,2000.0
16,node_t001-nxcore_cpu,2500.0
17,node_t001-nxcore_cpu,2000.0
18,node_t001-nxcore_cpu,2500.0
19,node_t001-nxcore_cpu,2000.0
20,node_t001-nxcore_cpu,3100.0
21,node_t001-nxcore_cpu,2000.0
22,node_t001-nxcore_cpu,2500.0
23,node_t001-nxcore_cpu,2000.0
24,node_t001-nxcore_cpu,2500.0
25,node_t001-nxcore_cpu,2000.0
26,node_t001-nxcore_cpu,2500.0
27,node_t001-nxcore_cpu,2000.0
28,node_t001-nxcore_cpu,2500.0
29,node_t001-nxcore_cpu,2000.0
30,node_t001-nxcore_cpu,3100.0
31,node_t001-nxcore_cpu,2000.0
32,node_t001-nxcore_cpu,2500.0
33,node_t001-nxcore_cpu,2000.0
34,node_t001-nxcore_cpu,2500.0
35,node_t001-nxcore_cpu,2000.0
36,node_t001-nxcore_cpu,2500.0
37,node_t001-nxcore_cpu,2000.0
38,node_t001-nxcore_cpu,2500.0
39,node_t001-nxcore_cpu,2000.0
40,node_t001-nxcore_cpu,3100.0
41,node_t001-nxcore_cpu,2000.0
42,node_t001-nxcore_cpu,2500.0
43,node_t001-nxcore_cpu,2000.0
44,node_t001-nxcore_cpu,2500.0
45,node_t001-nxcore_cpu,2000.0
46,node_t001-nxcore_cpu,2500.0
47,node_t001-nxcore_cpu,2000.0
48,node_t001-nxcore_cpu,2500.0
49,node_t001-nxcore_cpu,2000.0
0,node_t001-nxcore_memory,3441426432.0
1,node_t001-nxcore_memory,3221225472.0
2,node_t001-nxcore_memory,3695181824.0
3,node_t001-nxcore_memory,3221225472.0
4,node_t001-nxcore_memory,3695181824.0
5,node_t001-nxcore_memory,3221225472.0
6,node_t001-nxcore_memory,3695181824.0
7,node_t001-nxcore_memory,3221225472.0
8,node_t001-nxcore_memory,3695181824.0
9,node_t001-nxcore_memory,3221225472.0
10,node_t001-nxcore_memory,3441426432.0
11,node_t001-nxcore_memory,3221225472.0
12,node_t001-nxcore_memory,3695181824.0
13,node_t001-nxcore_memory,3221225472.0
14,node_t001-nxcore_memory,3695181824.0
15,node_t001-nxcore_memory,3221225472.0
16,node_t001-nxcore_memory,3695181824.0
17,node_t001-nxcore_memory,3221225472.0
18,node_t001-nxcore_memory,3695181824.0
19,node_t001-nxcore_memory,3221225472.0
20,node_t001-nxcore_memory,3441426432.0
21,node_t001-nxcore_memory,3221225472.0
22,node_t001-nxcore_memory,3695181824.0
23,node_t001-nxcore_memory,3221225472.0
24,node_t001-nxcore_memory,3695181824.0
25,node_t001-nxcore_memory,3221225472.0
26,node_t001-nxcore_memory,3695181824.0
27,node_t001-nxcore_memory,3221225472.0
28,node_t001-nxcore_memory,3695181824.0
29,node_t001-nxcore_memory,3221225472.0
